ticker,date,pd_gbm,pd_jump_rolling,pd_regime_jump,label
CCL,2024-03-28 04:00:00,0.0030511906763689,0.00329,0.00329,0.0
CCL,2024-04-29 04:00:00,0.0032510138664097,0.00359,0.00359,0.0
CCL,2024-05-30 04:00:00,0.0027512617800333,0.00294,0.00294,0.0
CCL,2024-06-28 04:00:00,0.0010722122029249,0.00127,0.032,0.0
CCL,2024-07-30 04:00:00,0.0012441812409197,0.00149,0.00149,0.0
CCL,2024-08-30 04:00:00,0.0017670524120657,0.00198,0.00198,0.0
CCL,2024-09-27 04:00:00,0.001466414073787,0.00169,0.00169,0.0
CCL,2024-10-30 04:00:00,0.000834186225505,0.00096,0.00096,0.0
CCL,2024-11-29 05:00:00,0.0003983409918632,0.00051,0.00051,0.0
CCL,2024-12-30 05:00:00,0.0003006690016136,0.00032,0.00032,0.0
CCL,2025-01-30 05:00:00,0.0001347417658318,0.0001,0.0001,0.0
CCL,2025-02-27 05:00:00,0.0003203275787685,0.00036,0.00015,0.0
CCL,2025-03-28 04:00:00,0.0008333633907512,0.00096,0.00096,0.0
CCL,2025-04-29 04:00:00,0.0035478340324538,0.00387,0.00387,0.0
CCL,2025-05-30 04:00:00,0.0025850462717209,0.00277,0.00277,0.0
CCL,2025-06-27 04:00:00,0.0015733977531174,0.0018,0.0018,0.0
AAL,2023-01-30 05:00:00,0.0304244703179822,0.03058,0.04801,0.0
AAL,2023-02-27 05:00:00,0.0262879177817035,0.02652,0.04934,0.0
AAL,2023-03-30 04:00:00,0.0183625415629818,0.01886,0.05561,0.0
AAL,2023-04-28 04:00:00,0.017972226466664,0.01851,0.08465,0.0
AAL,2023-05-30 04:00:00,0.0109441983220481,0.01133,0.0726,0.0
AAL,2023-06-29 04:00:00,0.0047974335424909,0.00505,0.04901,0.0
AAL,2023-07-28 04:00:00,0.003085206409692,0.00335,0.00335,0.0
AAL,2023-08-30 04:00:00,0.002605523348125,0.00281,0.06756,0.0
AAL,2023-09-29 04:00:00,0.0018453486874319,0.00205,0.0809,0.0
AAL,2023-10-30 04:00:00,0.0016411587726149,0.00186,0.00186,0.0
AAL,2023-11-29 05:00:00,0.0012831995584263,0.00153,0.08815,0.0
AAL,2023-12-29 05:00:00,0.0008648707282906,0.001,0.02597,0.0
AAL,2024-01-30 05:00:00,0.0014909954027338,0.07545,0.07718,0.0
AAL,2024-02-28 05:00:00,0.0013288567230541,0.06617,0.0679,0.0
AAL,2024-03-28 04:00:00,0.0011976078268855,0.06701,0.1155,0.0
AAL,2024-04-29 04:00:00,0.0013000901018157,0.08138,0.08606,0.0
AAL,2024-05-30 04:00:00,0.0027972456461319,0.16172,0.18178,0.0
AAL,2024-06-28 04:00:00,0.0024754185913778,0.16333,0.16201,0.0
AAL,2024-07-30 04:00:00,0.0027352720660246,0.17295,0.1733,0.0
AAL,2024-08-30 04:00:00,0.0038618643715834,0.17571,0.17632,0.0
AAL,2024-09-27 04:00:00,0.0041138523162118,0.15995,0.16339,0.0
AAL,2024-10-30 04:00:00,0.0037962626213949,0.12532,0.12556,0.0
AAL,2024-11-29 05:00:00,0.0040811008508355,0.1179,0.11797,0.0
AAL,2024-12-30 05:00:00,0.0054228641020093,0.114,0.11738,0.0
AAL,2025-01-30 05:00:00,0.0037707649561035,0.11974,0.08368,0.0
